ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,Currency,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd
10280,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13,15,"Developer, mobile",NA,NA,NA,Retail and Consumer Services,Spain,EUR European Euro,Go;HTML/CSS;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,NA,127616
10282,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,10,"Developer, mobile",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);Groovy;Java;Kotlin;Python;SQL,SQLite,61264
10287,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not employed,7,8,"Developer, back-end",NA,NA,NA,NA,"Iran, Islamic Republic of...",IRR	Iranian rial,Go;Java,Cassandra;Elasticsearch;H2;MySQL;Redis,7122
1029,35-44 years old,Some college/university study without earning a degree,Employed,12,15,"Developer, back-end",500 to 999 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",Poland,PLN Polish zloty,NA,Databricks SQL;PostgreSQL;Redis;SQLite,68225
10308,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5,9,"Developer, full-stack",Less than 20 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,MariaDB;MongoDB;MySQL;Redis;SQLite;Valkey,39445
10317,45-54 years old,Other (please specify):,Employed,15,20,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,Germany,EUR European Euro,HTML/CSS;JavaScript;PowerShell,NA,51046
10324,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8,10,"Developer, embedded applications or devices",I don’t know,Individual contributor,Remote,Software Development,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,NA,NA,98703
10328,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,16,20,"Developer, game or graphics",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Sweden,SEK	Swedish krona,C;C#;C++;Rust,NA,78616
10332,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",24,28,"Developer, back-end",NA,NA,NA,"Transportation, or Supply Chain",Austria,EUR European Euro,C#;SQL,Microsoft SQL Server,185623
10340,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3,7,"Developer, full-stack",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Mauritania,MRU	Mauritanian ouguiya,HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;PostgreSQL,121570
10344,35-44 years old,Other (please specify):,Employed,16,21,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;Microsoft Access;MongoDB;MySQL,72672
1035,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4,4,"Developer, full-stack","10,000 or more employees",Individual contributor,In-person,Software Development,Philippines,PHP	Philippine peso,HTML/CSS;Java;JavaScript;PHP;TypeScript,MongoDB;MySQL;PostgreSQL,13169
10356,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not employed,20,30,"Developer, back-end",NA,NA,NA,NA,Hungary,HUF	Hungarian forint,Bash/Shell (all shells);JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Cassandra;PostgreSQL;SQLite,156149
10358,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,7,NA,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Germany,EUR European Euro,Python;R,BigQuery;DuckDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Snowflake,81210
10359,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",39,43,"Developer, full-stack",NA,NA,NA,Healthcare,Ireland,EUR European Euro,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft Access;Microsoft SQL Server,116015
10374,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13,18,Data engineer,"10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C#;C++;Java;Rust;Scala;SQL;TypeScript,Cassandra;Elasticsearch;Neo4J;PostgreSQL;Snowflake;Cockroachdb,570000
1038,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25,30,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,Germany,EUR European Euro,Bash/Shell (all shells);C;HTML/CSS;Python;Scala;SQL,BigQuery;Databricks SQL;MariaDB;PostgreSQL;Amazon Redshift,139218
10380,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25,30,"Developer, full-stack",I don’t know,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Perl;SQL;TypeScript,DuckDB;MariaDB;Oracle;PostgreSQL;Redis;SQLite,190000
10381,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,6,"Developer, back-end",Less than 20 employees,Individual contributor,In-person,Media & Advertising Services,France,EUR European Euro,C#,Microsoft SQL Server,35965
10383,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,27,35,"Developer, full-stack",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Australia,AUD	Australian dollar,Bash/Shell (all shells);Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Lua;Python;Ruby;Rust;SQL;Swift;TypeScript,BigQuery;Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;PostgreSQL;Redis;SQLite,149522
10389,25-34 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",15,15,"Founder, technology or otherwise",Less than 20 employees,Individual contributor,Remote,Computer Systems Design and Services,Portugal,EUR European Euro,Bash/Shell (all shells);C;C++;HTML/CSS;Lisp;Lua;OCaml;Python,DuckDB;PostgreSQL;SQLite,139218
10407,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8,7,"Developer, full-stack",500 to 999 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Belarus,USD United States dollar,Bash/Shell (all shells);JavaScript;PHP;TypeScript,MySQL;PostgreSQL,55000
1041,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,11,14,"Developer, full-stack",100 to 499 employees,Individual contributor,Remote,Software Development,Brazil,BRL Brazilian real,HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,NA,13107
10423,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14,20,"Developer, desktop or enterprise applications","10,000 or more employees",Individual contributor,Remote,Software Development,Germany,EUR European Euro,C#;SQL,Elasticsearch;Microsoft SQL Server,116015
1044,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",41,42,"Developer, full-stack",NA,NA,NA,Software Development,Brazil,BRL Brazilian real,C#;PHP,MariaDB;PostgreSQL;SQLite,36407
10443,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,21,25,"Architect, software or solutions","10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,United States of America,USD United States dollar,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,150000
10448,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4,15,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;TypeScript,InfluxDB;MariaDB;PostgreSQL;Redis;SQLite,71465
1046,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,16,22,"Developer, back-end","1,000 to 4,999 employees",Individual contributor,Remote,Software Development,Canada,CAD Canadian dollar,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Databricks SQL;Elasticsearch;MySQL;Redis;SQLite,248058
10461,35-44 years old,Some college/university study without earning a degree,Employed,12,25,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,Germany,EUR European Euro,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,69609
1048,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1,6,"Developer, full-stack",20 to 99 employees,NA,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Finland,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;InfluxDB;MySQL;PostgreSQL,49886
10505,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25,25,"Architect, software or solutions",Less than 20 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,Brazil,BRL Brazilian real,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;Valkey,21844
10512,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6,9,"Developer, full-stack",Less than 20 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Sweden,SEK	Swedish krona,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MySQL;PostgreSQL;Supabase,41929
10518,55-64 years old,NA,Employed,40,48,Product manager,Less than 20 employees,Individual contributor,Remote,Higher Education,United States of America,USD United States dollar,Bash/Shell (all shells);C;C++;Elixir;JavaScript;Lua,Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,210000
10531,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,16,23,Engineering manager,500 to 999 employees,People manager,Remote,Fintech,Brazil,BRL Brazilian real,Elixir;Erlang;HTML/CSS;Lua;Python;Ruby,BigQuery;PostgreSQL,101941
10540,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12,12,"Architect, software or solutions","1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Microsoft Access;Oracle;Redis,83531
10549,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,10,Academic researcher,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;TypeScript,H2;Neo4J;Redis;SQLite,75410
10571,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6,10,"Developer, full-stack","10,000 or more employees",People manager,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,United States of America,USD United States dollar,HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,85000
10572,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",17,22,"Senior executive (C-suite, VP, etc.)",20 to 99 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,"Iran, Islamic Republic of...",IRR	Iranian rial,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,712166
1058,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13,18,"Developer, desktop or enterprise applications","10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,USD United States dollar,JavaScript;PowerShell;Rust;TypeScript,NA,200000
10590,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20,30,"Developer, back-end","10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C++;HTML/CSS;JavaScript;PHP;Python;SQL,MySQL,500000
1062,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9,16,"Developer, front-end","10,000 or more employees",Individual contributor,Remote,Insurance,Germany,EUR European Euro,HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,92812
10636,35-44 years old,Some college/university study without earning a degree,Employed,7,10,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Canada,CAD Canadian dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,56908
10637,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,23,42,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,Bash/Shell (all shells);Elixir;Erlang;Go;HTML/CSS;JavaScript;Lua;Python;TypeScript,DuckDB;PostgreSQL;Redis;Valkey,160000
10648,25-34 years old,Some college/university study without earning a degree,Employed,7,9,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL,80000
10669,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9,13,"Developer, back-end",100 to 499 employees,Individual contributor,Remote,Software Development,India,INR Indian rupee,Bash/Shell (all shells);Java;JavaScript;Python;Rust;SQL,MongoDB;PostgreSQL;Redis;Snowflake;SQLite,75556
10680,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1,2,"Developer, full-stack",100 to 499 employees,Individual contributor,In-person,Other:,United States of America,USD United States dollar,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;Swift;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,88000
10687,45-54 years old,Some college/university study without earning a degree,Employed,22,25,"Developer, mobile",100 to 499 employees,Individual contributor,Remote,Software Development,Spain,EUR European Euro,Java;Kotlin;Python;Swift,Cloud Firestore;MariaDB;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,34804
10689,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,16,DevOps engineer or professional,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,USD United States dollar,Bash/Shell (all shells);C++;HTML/CSS;Rust,NA,107000
10691,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5,8,"Developer, mobile","1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,Poland,PLN Polish zloty,Swift,NA,65496
10697,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,5,Other (please specify):,20 to 99 employees,Individual contributor,In-person,Banking/Financial Services,United States of America,USD United States dollar,Python,NA,40000
10704,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",13,20,"Developer, full-stack",NA,NA,NA,Fintech,Portugal,EUR European Euro,C#;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,83531
10710,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,11,"Developer, back-end",Less than 20 employees,Individual contributor,In-person,Retail and Consumer Services,Netherlands,EUR European Euro,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,48726
10731,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,17,17,"Developer, front-end","10,000 or more employees",Individual contributor,Remote,"Internet, Telecomm or Information Services",South Africa,ZAR	South African rand,HTML/CSS;JavaScript,NA,62017
10740,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14,20,"Developer, front-end","5,000 to 9,999 employees",Individual contributor,Remote,Software Development,India,INR Indian rupee,HTML/CSS;JavaScript;TypeScript,NA,29060
10747,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12,13,"Architect, software or solutions",20 to 99 employees,Individual contributor,Remote,Software Development,Brazil,BRL Brazilian real,Bash/Shell (all shells);Dart;GDScript;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,89198
10748,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9,13,"Developer, full-stack","10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,India,INR Indian rupee,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Oracle;PostgreSQL,37197
10751,25-34 years old,Some college/university study without earning a degree,Employed,10,15,"Developer, back-end","1,000 to 4,999 employees",People manager,Remote,Fintech,France,EUR European Euro,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,PostgreSQL,92812
10752,65 years or older,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Independent contractor, freelancer, or self-employed",35,40,"Developer, full-stack",NA,NA,NA,Manufacturing,Germany,EUR European Euro,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;PowerShell;Python;SQL,Microsoft SQL Server;SQLite,104413
10769,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12,14,"Developer, mobile",Less than 20 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,USD United States dollar,Java;Kotlin;Swift,NA,154000
